CCAA;2004;2005*;2006;2007;2008;2009;2010;2011;2012;2013;2014*;2015;2016;2017;2018;2019;2020
Galicia;20,5;20;20,2;20,4;20,1;19,9;20,8;21,9;22;21,2;21,8;22,4;22,9;23;24,2;24,9;24,8
Madrid, Comunidad de;23,4;26,2;28;27,8;27,4;27,3;27,7;27,2;26,2;26,1;26,5;26,6;26,6;27,8;27,3;27,7;28,2
Murcia, Región de;20,9;22;21,6;22,1;20,3;22;21,5;22,9;22,3;21,6;23,6;23,8;23,5;24,3;24,3;24;24,5
Navarra, Comunidad Foral de;21;22,9;23,4;22,9;24,7;25,4;25,3;23,9;24,5;25,9;25,1;25,8;25,9;25,3;26,1;26,6;26,2
País Vasco;21,3;21,5;22,2;22,4;23,4;22,4;24,2;24;23,7;23,6;23,6;24,5;24,5;24,3;25,1;24,5;25,1
Rioja, La;18,2;24,4;26,7;24,5;24,2;23,2;21,3;24,2;26,4;24,5;25,7;25,7;24,9;26,6;26,1;25,8;25,9
Ceuta;20;17,1;15,6;21,9;21,7;22,5;21,9;22;21,6;20,8;23,4;22,7;21,8;22,4;21,5;25,3;26
Melilla;25,3;24,2;23,5;22,8;21,8;14,1;18,5;25,2;24,1;25,3;26,8;22,7;24,9;26,4;24,5;23,5;25,9
Nivel 5-8;;;;;;;;;;;;;;;;;
Total;24,5;26,1;26,4;26,8;27;27,4;28,4;29,3;30;30,9;31,7;32,1;32,7;33,2;34;35,1;36
Andalucía;19,4;20,7;20,9;21,8;22,3;22,7;23,3;23,5;24;24,7;24,9;25,6;26,5;26,8;27,5;28,2;29,3
Aragón;27,3;28,2;30,2;30,3;29,5;29,3;31;32,4;32,6;32,3;32,9;32,7;33,3;33,6;35,1;35,9;36,3
Asturias, Principado de;24,4;28,3;27,1;27,5;29,1;30,1;30,7;33,1;33,9;35,4;36,4;37,1;38;38,6;39,8;40,1;40,9
Balears, Illes;15,9;18,7;20,8;19;18,6;19,9;20,4;21,7;22,5;24,6;25,6;24,8;26,4;28,3;27,2;29;31,6
Canarias;20,8;22;21,3;22,3;21,2;21,5;21,6;21,9;23,8;25,1;24,6;24,3;26,6;27,4;28,2;30,3;31,3
Cantabria;25,6;28,3;28,5;29,8;30,9;31,5;33,1;32,8;33,6;34,5;34,8;35,4;36,4;37,4;37,8;38,6;39,1
Castilla y León;25,4;26,1;26,8;27,3;28;28,5;29,2;30,8;31,6;31,4;31,8;32,1;31,7;32,6;33,5;35,5;35,8
Castilla - La Mancha;17,2;19;20,2;20,6;20;21,7;22;23,1;23,3;24,1;25,1;25;25;25,3;26;27,4;28,1
Cataluña;26,3;27,7;27,5;26,9;27,2;27,8;28,8;29,6;30,1;32;33,9;34,5;35,4;36;37,4;38,4;38,5
Comunitat Valenciana;22,1;24;24,5;24,3;24,7;24,6;26,1;27,3;27,8;28,5;29,3;29,8;30,4;30,6;32,6;33,6;34,4
Extremadura;17,1;18,8;19,7;20;19,9;20,3;21,4;22,5;21,8;22,3;24,2;24,2;23,1;24,3;24,5;24,8;24,7
Galicia;22,7;25,5;26,3;26,8;27,5;27,8;28,2;28,9;29,2;29,9;31;32,7;33,4;34;34,1;35,2;37,2
Madrid, Comunidad de;32,4;33,6;33,8;35,4;35,8;35,4;37,9;39,6;40,6;41,9;42,8;42,6;42,6;42,7;42,7;44,4;45,3
Murcia, Región de;20,7;20,7;21,2;21,3;22,6;21,9;22,4;23,1;24,2;25,8;24,6;25;25,6;26,8;28;28,1;29,6
Navarra, Comunidad Foral de;31,3;34,5;34,4;35,5;33,7;34;36,5;37,2;37,3;37,6;39,3;38,7;40,7;41,3;41,3;42,6;43,9
País Vasco;35,5;38,8;39,6;40;39,5;40,9;41,4;42;43,4;43,7;43,7;44,5;45,4;46,1;45,7;46,6;48,7
Rioja, La;26,7;27,5;26,2;28,4;28,2;32,2;32,5;30,4;31,6;32,8;33,9;35,6;34,1;34,1;34,8;35,1;35,3
Ceuta;15,7;20;15,6;13,8;18,9;20,5;18;16,8;19,8;20,7;19,7;24,9;25;23;23,6;19,8;22,8
Melilla;21,3;24,2;22,3;19,5;20,4;22,1;19,9;24,2;21,5;23,1;25,1;24,4;23,7;25,4;25,8;26,6;30,6
(*) ruptura de serie;;;;;;;;;;;;;;;;;
Fuente: Encuesta de Población Activa. INE;;;;;;;;;;;;;;;;;
