Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
Castilla y León;Ambos sexos;2005;81,29
Castilla y León;Ambos sexos;2004;81,47
Castilla y León;Ambos sexos;2003;80,94
Castilla y León;Ambos sexos;2002;80,8
Castilla y León;Ambos sexos;2001;81,07
Castilla y León;Ambos sexos;2000;80,59
Castilla y León;Ambos sexos;1999;80,2
Castilla y León;Ambos sexos;1998;80,02
Castilla y León;Ambos sexos;1997;80,03
Castilla y León;Ambos sexos;1996;79,64
Castilla y León;Ambos sexos;1995;79,6
Castilla y León;Ambos sexos;1994;79,49
Castilla y León;Ambos sexos;1993;79,04
Castilla y León;Ambos sexos;1992;78,84
Castilla y León;Ambos sexos;1991;78,44
Castilla y León;Ambos sexos;1990;78,2
Castilla y León;Ambos sexos;1989;78,13
Castilla y León;Ambos sexos;1988;78
Castilla y León;Ambos sexos;1987;77,91
Castilla y León;Ambos sexos;1986;77,8
Castilla y León;Ambos sexos;1985;77,49
Castilla y León;Ambos sexos;1984;77,42
Castilla y León;Ambos sexos;1983;77,29
Castilla y León;Ambos sexos;1982;77,35
Castilla y León;Ambos sexos;1981;76,51
Castilla y León;Ambos sexos;1980;76,43
Castilla y León;Ambos sexos;1979;75,67
Castilla y León;Ambos sexos;1978;75,14
Castilla y León;Ambos sexos;1977;74,57
Castilla y León;Ambos sexos;1976;74,23
Castilla y León;Ambos sexos;1975;73,95
Castilla - La Mancha;Ambos sexos;2020;81,22
Castilla - La Mancha;Ambos sexos;2019;83,57
Castilla - La Mancha;Ambos sexos;2018;83,42
Castilla - La Mancha;Ambos sexos;2017;83,01
Castilla - La Mancha;Ambos sexos;2016;83,25
Castilla - La Mancha;Ambos sexos;2015;82,84
Castilla - La Mancha;Ambos sexos;2014;83,28
Castilla - La Mancha;Ambos sexos;2013;83,09
Castilla - La Mancha;Ambos sexos;2012;82,69
Castilla - La Mancha;Ambos sexos;2011;82,77
Castilla - La Mancha;Ambos sexos;2010;82,71
Castilla - La Mancha;Ambos sexos;2009;82,29
Castilla - La Mancha;Ambos sexos;2008;81,77
Castilla - La Mancha;Ambos sexos;2007;81,42
Castilla - La Mancha;Ambos sexos;2006;81,68
Castilla - La Mancha;Ambos sexos;2005;80,83
Castilla - La Mancha;Ambos sexos;2004;80,9
Castilla - La Mancha;Ambos sexos;2003;80,52
Castilla - La Mancha;Ambos sexos;2002;80,37
Castilla - La Mancha;Ambos sexos;2001;80,15
Castilla - La Mancha;Ambos sexos;2000;80,25
Castilla - La Mancha;Ambos sexos;1999;79,74
Castilla - La Mancha;Ambos sexos;1998;79,66
Castilla - La Mancha;Ambos sexos;1997;79,74
Castilla - La Mancha;Ambos sexos;1996;78,98
Castilla - La Mancha;Ambos sexos;1995;79,03
Castilla - La Mancha;Ambos sexos;1994;78,59
Castilla - La Mancha;Ambos sexos;1993;78,29
Castilla - La Mancha;Ambos sexos;1992;78,32
Castilla - La Mancha;Ambos sexos;1991;77,81
Castilla - La Mancha;Ambos sexos;1990;78,09
Castilla - La Mancha;Ambos sexos;1989;77,73
Castilla - La Mancha;Ambos sexos;1988;77,82
Castilla - La Mancha;Ambos sexos;1987;77,55
Castilla - La Mancha;Ambos sexos;1986;77,12
Castilla - La Mancha;Ambos sexos;1985;76,88
Castilla - La Mancha;Ambos sexos;1984;76,79
Castilla - La Mancha;Ambos sexos;1983;76,51
Castilla - La Mancha;Ambos sexos;1982;76,83
Castilla - La Mancha;Ambos sexos;1981;76
Castilla - La Mancha;Ambos sexos;1980;76,05
Castilla - La Mancha;Ambos sexos;1979;75,38
Castilla - La Mancha;Ambos sexos;1978;75,06
Castilla - La Mancha;Ambos sexos;1977;74,94
Castilla - La Mancha;Ambos sexos;1976;74,55
Castilla - La Mancha;Ambos sexos;1975;74,01
Cataluña;Ambos sexos;2020;82,26
Cataluña;Ambos sexos;2019;83,83
Cataluña;Ambos sexos;2018;83,41
Cataluña;Ambos sexos;2017;83,33
Cataluña;Ambos sexos;2016;83,43
Cataluña;Ambos sexos;2015;83,09
Cataluña;Ambos sexos;2014;83,17
Cataluña;Ambos sexos;2013;82,97
Cataluña;Ambos sexos;2012;82,49
Cataluña;Ambos sexos;2011;82,57
Cataluña;Ambos sexos;2010;82,26
Cataluña;Ambos sexos;2009;81,89
Cataluña;Ambos sexos;2008;81,63
Cataluña;Ambos sexos;2007;81,34
Cataluña;Ambos sexos;2006;81,28
Cataluña;Ambos sexos;2005;80,47
Cataluña;Ambos sexos;2004;80,63
Cataluña;Ambos sexos;2003;79,99
Cataluña;Ambos sexos;2002;80,03
Cataluña;Ambos sexos;2001;79,87
Cataluña;Ambos sexos;2000;79,66
Cataluña;Ambos sexos;1999;78,99
Cataluña;Ambos sexos;1998;79,19
Cataluña;Ambos sexos;1997;78,91
Cataluña;Ambos sexos;1996;78,66
Cataluña;Ambos sexos;1995;78,3
Cataluña;Ambos sexos;1994;78,27
Cataluña;Ambos sexos;1993;77,85
Cataluña;Ambos sexos;1992;77,53
Cataluña;Ambos sexos;1991;77,3
Cataluña;Ambos sexos;1990;77,02
Cataluña;Ambos sexos;1989;76,98
Cataluña;Ambos sexos;1988;77,17
Cataluña;Ambos sexos;1987;77,21
Cataluña;Ambos sexos;1986;77,09
Cataluña;Ambos sexos;1985;77,08
Cataluña;Ambos sexos;1984;77,19
Cataluña;Ambos sexos;1983;76,79
Cataluña;Ambos sexos;1982;77,33
Cataluña;Ambos sexos;1981;76,8
Cataluña;Ambos sexos;1980;76,44
Cataluña;Ambos sexos;1979;75,74
Cataluña;Ambos sexos;1978;75,15
Cataluña;Ambos sexos;1977;75
Cataluña;Ambos sexos;1976;74,31
Cataluña;Ambos sexos;1975;73,67
Comunitat Valenciana;Ambos sexos;2020;82,36
Comunitat Valenciana;Ambos sexos;2019;83
Comunitat Valenciana;Ambos sexos;2018;82,58
Comunitat Valenciana;Ambos sexos;2017;82,5
